"","day","v1","v2","v3","v4","v5","v6"
"458",2011-04-03,66910,330183,529663,233993,800089,201808
"459",2011-04-04,66918,330224,529728,234022,800186,201833
"460",2011-04-05,66926,330264,529792,234050,800284,201857
"461",2011-04-06,66935,330305,529857,234079,800382,201882
"462",2011-04-07,66943,330345,529922,234108,800480,201907
"463",2011-04-08,66951,330385,529987,234136,800578,201931
"464",2011-04-09,66959,330426,530052,234165,800676,201956
"465",2011-04-10,66967,330466,530116,234193,800774,201981
"466",2011-04-11,66976,330507,530181,234222,800872,202005
"467",2011-04-12,66984,330547,530246,234251,800969,202030
"468",2011-04-13,66992,330587,530311,234279,801067,202055
"469",2011-04-14,67000,330628,530376,234308,801165,202080
"470",2011-04-15,67008,330668,530440,234337,801263,202104
"471",2011-04-16,67016,330709,530505,234365,801361,202129
"472",2011-04-17,67025,330749,530570,234394,801459,202154
"473",2011-04-18,67033,330789,530635,234422,801557,202178
"474",2011-04-19,67041,330830,530700,234451,801655,202203
"475",2011-04-20,67049,330870,530764,234480,801752,202228
"476",2011-04-21,67057,330910,530829,234508,801850,202252
"477",2011-04-22,67066,330951,530894,234537,801948,202277
"478",2011-04-23,67074,330991,530959,234566,802046,202302
"479",2011-04-24,67082,331032,531024,234594,802144,202326
"480",2011-04-25,67090,331072,531088,234623,802242,202351
"481",2011-04-26,67098,331112,531153,234651,802340,202376
"482",2011-04-27,67106,331153,531218,234680,802438,202400
"483",2011-04-28,67115,331193,531283,234709,802535,202425
"484",2011-04-29,67123,331234,531348,234737,802633,202450
"485",2011-04-30,67131,331274,531412,234766,802731,202475
"486",2011-05-01,67139,331314,531477,234795,802829,202499
"487",2011-05-02,67147,331355,531542,234823,802927,202524
"488",2011-05-03,67156,331395,531607,234852,803025,202549
"489",2011-05-04,67164,331436,531672,234880,803123,202573
"490",2011-05-05,67172,331476,531736,234909,803221,202598
"491",2011-05-06,67180,331516,531801,234938,803318,202623
"492",2011-05-07,67188,331557,531866,234966,803416,202647
"493",2011-05-08,67196,331597,531931,234995,803514,202672
"494",2011-05-09,67205,331638,531995,235024,803612,202697
"495",2011-05-10,67213,331678,532060,235052,803710,202721
